transaction_date,customer_id,product,quantity,price
2024-01-15,CUST001,Widget A,5,29.99
2024-01-15,CUST002,Gadget B,2,49.99
2024-01-16,CUST001,Widget A,3,29.99
2024-01-16,CUST003,Tool C,1,99.99
2024-01-17,CUST002,Gadget B,4,49.99
2024-01-17,CUST004,Widget A,2,29.99
2024-01-18,CUST001,Tool C,1,99.99
2024-01-18,CUST003,Gadget B,3,49.99
2024-01-19,CUST005,Widget A,6,29.99
2024-01-19,CUST002,Tool C,2,99.99
2024-01-20,CUST004,Gadget B,1,49.99
2024-01-20,CUST001,Widget A,4,29.99
2024-01-21,CUST003,Widget A,2,29.99
2024-01-21,CUST005,Gadget B,3,49.99
2024-01-22,CUST002,Widget A,5,29.99
2024-01-22,CUST006,Tool C,1,99.99
2024-01-23,CUST001,Gadget B,2,49.99
2024-01-23,CUST004,Tool C,1,99.99
2024-01-24,CUST003,Widget A,3,29.99
2024-01-24,CUST005,Widget A,4,29.99
2024-01-25,CUST002,Gadget B,2,49.99
2024-01-25,CUST006,Widget A,1,29.99
2024-01-26,CUST001,Tool C,1,99.99
2024-01-26,CUST004,Gadget B,3,49.99
2024-01-27,CUST003,Tool C,2,99.99
2024-01-27,CUST005,Gadget B,1,49.99
2024-01-28,CUST002,Widget A,6,29.99
2024-01-28,CUST006,Tool C,1,99.99
2024-01-29,CUST001,Widget A,2,29.99
2024-01-29,CUST004,Widget A,3,29.99
2024-01-30,CUST003,Gadget B,4,49.99
2024-01-30,CUST005,Tool C,1,99.99
2024-02-01,CUST001,Gadget B,2,49.99
2024-02-01,CUST002,Widget A,5,29.99
2024-02-02,CUST003,Widget A,3,29.99
2024-02-02,CUST004,Tool C,1,99.99
2024-02-03,CUST005,Gadget B,3,49.99
2024-02-03,CUST006,Widget A,2,29.99
2024-02-04,CUST001,Tool C,2,99.99
2024-02-04,CUST002,Gadget B,1,49.99
2024-02-05,CUST003,Gadget B,4,49.99
2024-02-05,CUST004,Widget A,4,29.99
2024-02-06,CUST005,Widget A,1,29.99
2024-02-06,CUST006,Tool C,1,99.99
2024-02-07,CUST001,Widget A,3,29.99
2024-02-07,CUST002,Tool C,1,99.99
2024-02-08,CUST003,Widget A,5,29.99
2024-02-08,CUST004,Gadget B,2,49.99
2024-02-09,CUST005,Tool C,2,99.99
2024-02-09,CUST006,Gadget B,3,49.99
2024-02-10,CUST001,Gadget B,1,49.99
2024-02-10,CUST002,Widget A,6,29.99

