transaction_id,transaction_date,customer_id,product,category,quantity,price,payment_method,city
TXN100000,2024-01-14,CUST347,Laptop,Electronics,3.0,1200.0,Cash,Hyderabad
TXN100001,2024-01-28,CUST120,Headphones,Electronics,,500.0,Cash,Hyderabad
TXN100002,2024-03-10,CUST215,Headphones,Electronics,2.0,,UPI,Delhi
TXN100003,2024-02-05,CUST80,Books,Education,2.0,,UPI,Bangalore
TXN100004,2024-02-14,CUST310,Laptop,Electronics,,500.0,Card,Mumbai
TXN100005,2024-03-21,CUST317,Backpack,Accessories,,500.0,Card,Hyderabad
TXN100006,2024-02-07,CUST41,Lamp,Furniture,1.0,500.0,UPI,Mumbai
TXN100007,2024-01-21,CUST190,Wallet,Accessories,,,Card,Pune
TXN100008,2024-01-21,CUST237,Books,Education,2.0,65000.0,Card,Bangalore
TXN100009,2024-01-05,CUST413,Lamp,Furniture,3.0,500.0,Card,Delhi
TXN100010,2024-02-10,CUST109,Books,Education,2.0,65000.0,Cash,Delhi
TXN100011,2024-03-12,CUST276,Wallet,Accessories,2.0,2500.0,Card,Hyderabad
TXN100012,2024-01-18,CUST261,Wallet,Accessories,3.0,1200.0,Card,Mumbai
TXN100013,2024-03-28,CUST217,Laptop,Electronics,2.0,,Cash,Mumbai
TXN100014,2024-03-11,CUST441,Wallet,Accessories,,65000.0,UPI,Mumbai
TXN100015,2024-02-28,CUST2,Notebook,Education,1.0,2500.0,Cash,Bangalore
TXN100016,2024-03-22,CUST260,Lamp,Furniture,1.0,,Cash,Pune
TXN100017,2024-03-08,CUST471,Desk,Furniture,2.0,65000.0,UPI,Hyderabad
TXN100018,invalid_date,CUST123,Notebook,Education,1.0,500.0,UPI,Pune
TXN100019,2024-03-09,CUST393,Laptop,Electronics,,500.0,UPI,Pune
TXN100020,2024-02-24,CUST494,Backpack,Accessories,3.0,65000.0,UPI,Hyderabad
TXN100021,2024-03-24,CUST192,Lamp,Furniture,3.0,15000.0,Card,Hyderabad
TXN100022,2024-01-03,CUST302,Backpack,Accessories,2.0,1200.0,Cash,Pune
TXN100023,2024-01-30,CUST35,Office Chair,Furniture,1.0,,UPI,Bangalore
TXN100024,2024-01-28,CUST277,Headphones,Electronics,2.0,2500.0,UPI,Hyderabad
TXN100025,2024-01-13,CUST338,Backpack,Accessories,,15000.0,Card,Bangalore
TXN100026,2024-03-24,CUST331,Wallet,Accessories,,,UPI,Mumbai
TXN100027,2024-03-09,CUST230,Wallet,Accessories,1.0,1200.0,UPI,Delhi
TXN100028,invalid_date,CUST227,Desk,Furniture,,1200.0,Cash,Mumbai
TXN100029,2024-01-31,CUST86,Headphones,Electronics,1.0,500.0,Card,Delhi
TXN100030,2024-01-01,CUST200,Backpack,Accessories,,500.0,Card,Delhi
TXN100031,2024-01-28,CUST496,Notebook,Education,,1200.0,UPI,Hyderabad
TXN100032,2024-03-05,CUST471,Keyboard,Electronics,1.0,500.0,Cash,Pune
TXN100033,2024-01-09,CUST346,Headphones,Electronics,1.0,1200.0,UPI,Delhi
TXN100034,2024-03-20,CUST42,Headphones,Electronics,2.0,65000.0,Card,Hyderabad
TXN100035,2024-01-31,CUST136,Notebook,Education,2.0,,Card,Pune
TXN100010,2024-03-20,CUST289,Notebook,Education,3.0,500.0,UPI,Mumbai
TXN100037,2024-01-09,CUST451,Lamp,Furniture,3.0,1200.0,UPI,Bangalore
TXN100038,2024-03-19,CUST414,Books,Education,,65000.0,Cash,Hyderabad
TXN100039,2024-01-18,CUST136,Headphones,Electronics,3.0,,UPI,Mumbai
TXN100040,2024-02-13,CUST105,Desk,Furniture,3.0,65000.0,Cash,Bangalore
TXN100041,2024-02-05,CUST23,Wallet,Accessories,1.0,500.0,UPI,Bangalore
TXN100042,2024-03-11,CUST362,Lamp,Furniture,3.0,1200.0,Card,Hyderabad
TXN100043,2024-03-10,CUST19,Laptop,Electronics,1.0,,Card,Hyderabad
TXN100044,2024-01-06,CUST461,Desk,Furniture,2.0,500.0,Card,Pune
TXN100045,2024-02-22,CUST499,Lamp,Furniture,1.0,2500.0,Cash,Pune
TXN100046,2024-02-12,CUST401,Office Chair,Furniture,2.0,15000.0,Card,Pune
TXN100047,2024-03-01,CUST114,Books,Education,1.0,15000.0,UPI,Delhi
TXN100048,2024-01-25,CUST205,Notebook,Education,2.0,1200.0,Card,Bangalore
TXN100049,2024-03-27,CUST432,Keyboard,Electronics,3.0,,Cash,Bangalore
TXN100050,2024-02-03,CUST20,Laptop,Electronics,3.0,1200.0,UPI,Hyderabad
TXN100051,2024-03-06,CUST60,Wallet,Accessories,3.0,15000.0,Card,Hyderabad
TXN100052,2024-03-07,CUST474,Desk,Furniture,1.0,,Cash,Pune
TXN100053,2024-03-20,CUST161,Notebook,Education,1.0,,Cash,Mumbai
TXN100054,2024-02-07,CUST284,Notebook,Education,,2500.0,UPI,Pune
TXN100055,2024-02-21,CUST281,Wallet,Accessories,2.0,65000.0,UPI,Bangalore
TXN100056,2024-02-11,CUST239,Books,Education,,65000.0,Card,Delhi
